...1,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,Location,City/County,region,subregion,large_region,price_per_sq_ft
70,Enmore Road,749950,Flat / Apartment,1382,3,Putney,London,SW15,6LL,Further Outer,542.6555716353112
71,The Chase,480000,Flat / Apartment,448,1,NA,London,SW4,0NP,Middle,1071.4285714285713
72,Weymouth Mews,3500000,House,1763,4,Marylebone,London,W1,7EB,central,1985.2524106636415
73,Portland Place,2100000,Flat / Apartment,1208,3,Marylebone,London,W1,1NX,central,1738.41059602649
74,Ternary Place,650000,New development,1023,2,Ealing,London,W5,3HJ,Further Outer,635.386119257087
76,Lysias Road,1300000,House,1890,5,NA,London,SW12,8BW,Outer,687.8306878306878
77,Prince Henry Road,625000,House,1348,4,Kidbrooke,London,SE7,8PP,Outer,463.6498516320475
78,Kirby Street,625000,Flat / Apartment,540,1,Clerkenwell,London,EC1,8TE,Further Outer,1157.4074074074074
79,Great Peter Street,1100000,New development,791,2,Westminster,London,SW1,2BN,central,1390.6447534766119
80,Walton Street,5950000,House,2646,4,NA,London,SW3,1RE,Middle,2248.677248677249
81,Chatto Road,1325000,House,1375,4,NA,London,SW11,6LL,Middle,963.6363636363636
82,Redcliffe Square,1250000,Flat / Apartment,1068,2,NA,London,SW10,9JY,Middle,1170.4119850187267
83,Elm Park Lane,2300000,House,1119,3,NA,London,SW3,6DB,Middle,2055.406613047364
84,Fassett Square,1500000,House,1811,4,Hackney,London,E8,1DQ,Middle,828.2716731087796
85,Haverhill Road,1350000,House,1603,5,NA,London,SW12,0HD,Outer,842.170929507174
86,Duckman Tower,799995,Flat / Apartment,942,3,Canary Wharf,London,E14,9BL,Middle,849.2515923566879
87,St. Stephens Crescent,795000,Flat / Apartment,495,1,NA,London,W2,5QT,Middle,1606.060606060606
89,Ackmar Road,2595000,House,2120,5,Fulham,London,SW6,4UP,Outer,1224.0566037735848
90,Romney House,820000,Flat / Apartment,631,2,Westminster,London,SW1,3DS,central,1299.524564183835
92,Sycamore Gardens,680000,Flat / Apartment,705,2,NA,London,W6,0AP,Outer,964.5390070921986
93,Quarrendon Street,2300000,House,1956,3,NA,London,SW6,3SU,Outer,1175.8691206543967
94,Meredyth Road,2300000,House,2083,5,Barnes,London,SW13,0DS,Further Outer,1104.1766682669227
95,Baronsmead Road,4000000,House,3714,5,Barnes,London,SW13,9RR,Further Outer,1077.0059235325793
96,Sisters Avenue,500000,Flat / Apartment,516,2,NA,London,SW11,5SQ,Middle,968.9922480620155
97,Warrington Gardens,1275000,Flat / Apartment,1185,3,Little Venice,London,W9,2PZ,Middle,1075.9493670886077
98,Pembroke Villas,4500000,House,2972,3,NA,London,W8,6PG,Middle,1514.1318977119784
99,North End Road,1750000,House,2125,4,Hampstead,London,NW11,7SY,Outer,823.5294117647059
100,Heath Hurst Road,2600000,House,2350,4,Hampstead,London,NW3,2RU,Middle,1106.3829787234042
101,Tercelet Terrace,3450000,House,2354,4,Hampstead,London,NW3,7LW,Middle,1465.590484282073
102,Kersley Street,2350000,House,2183,5,NA,London,SW11,4PR,Middle,1076.5002290426019
103,Buckingham Gate,2375000,Flat / Apartment,1218,2,St. James's,London,SW1,6LB,central,1949.9178981937603
104,Camelot Close,1995000,House,1841,5,Wimbledon,London,SW19,7EA,Further Outer,1083.6501901140684
105,Clarendon Close,1000000,House,1154,4,South Hackney,London,E9,7BY,Middle,866.5511265164645
106,Klea Avenue,1795000,House,2314,5,NA,London,SW4,9HG,Middle,775.7130509939499
107,Manor Place Depot,687500,New development,1178,3,NA,London,SE17,3BD,Middle,583.616298811545
108,Molyneux Street,2450000,House,1483,3,NA,London,W1,5HW,central,1652.0566419420095
109,Gatti House,3500000,Flat / Apartment,1770,2,410 Strand,London,WC2,0NR,Further Outer,1977.4011299435028
111,Thornhill Crescent,850000,Flat / Apartment,773,2,Barnsbury,London,N1,1BJ,central,1099.6119016817595
112,Belsize Square,780000,Flat / Apartment,654,2,NA,London,NW3,4HL,Middle,1192.6605504587155
115,Milton Road,900000,House,1081,3,NA,London,SW14,8JP,Further Outer,832.5624421831637
116,Drakefield Road,2500000,House,3986,6,NA,London,SW17,8RR,Outer,627.1951831409934
117,Chiswick High Road,575000,Flat / Apartment,773,2,Chiswick,London,W4,4AG,Further Outer,743.8551099611901
118,Bewick Street,1250000,House,1708,5,NA,London,SW8,3TA,Middle,731.8501170960187
119,Overstrand Mansions,1575000,Flat / Apartment,1580,3,Prince of Wales Drive,London,SW11,4EZ,Middle,996.8354430379746
120,Somerset Road,4750000,House,6602,6,Wimbledon,London,SW19,5JZ,Further Outer,719.4789457740079
121,Burleigh Place,1175000,House,1909,4,Putney,London,SW15,6ES,Further Outer,615.5055002619172
123,Freshford Street,1200000,House,1771,4,NA,London,SW18,3TF,Outer,677.5832862789384
124,Ellerton Road,1700000,House,2374,5,Wandsworth,London,SW18,3NH,Outer,716.0909856781802
125,Ladbroke Crescent & Basement,1000000,House,2125,2,131 Ladbroke Grove,London,W11,1PS,Middle,470.5882352941176
126,Barts Square,1635000,New development,903,2,City Of London,London,EC1,9DS,Further Outer,1810.6312292358805
128,Gleneldon Road,1850000,House,3753,6,NA,London,SW16,2BZ,Outer,492.93898214761526
129,Windsor Court,2400000,Flat / Apartment,1736,4,Bayswater,London,W2,4SN,Middle,1382.4884792626729
130,Southbank Place,1200000,New development,590,1,South Bank,London,SE1,7NJ,central,2033.8983050847457
132,Haldane Road,1250000,House,1298,2,NA,London,SW6,7EU,Outer,963.020030816641
