...1,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,Location,City/County,region,subregion,large_region,price_per_sq_ft
133,Chipstead Street,2300000,House,1912,3,Fulham,London,SW6,3SS,Outer,1202.928870292887
135,Sydney House,1300000,Flat / Apartment,1465,3,Woodstock Road,London,W4,1DP,Further Outer,887.3720136518772
136,Waldemar Avenue,1750000,House,1580,4,Fulham,London,SW6,5NA,Outer,1107.5949367088608
137,Newstead Way,1495000,House,2300,4,NA,London,SW19,5HR,Further Outer,650
139,Melody Road,1625000,House,1953,4,NA,London,SW18,2QF,Outer,832.0532514080901
140,Hasker Street,3150000,House,1449,3,NA,London,SW3,2LE,Middle,2173.913043478261
143,Fairfax Mews,1395000,House,1902,5,Putney,London,SW15,6FF,Further Outer,733.4384858044164
144,Fairacres,1385000,Flat / Apartment,2056,3,Putney,London,SW15,5LX,Further Outer,673.6381322957199
145,Clapham Common South Side,800000,Flat / Apartment,922,2,NA,London,SW4,9DX,Middle,867.6789587852495
146,Ormond Yard,3695000,House,2316,4,St James's,London,SW1,6JT,central,1595.4231433506045
147,Cadogan Square,2200000,Flat / Apartment,1195,2,NA,London,SW1,0JL,central,1841.0041841004183
148,Cadogan Square,1175000,Flat / Apartment,687,2,NA,London,SW1,0JL,central,1710.334788937409
149,Aubrey Walk,9500000,House,4815,5,NA,London,W8,7JG,Middle,1973.001038421599
150,Oakwood Court,3100000,Flat / Apartment,2470,4,Holland Park,London,W14,8JS,Outer,1255.0607287449393
151,Barnsbury Park,5500000,House,3674,4,Islington,London,N1,1HQ,central,1497.0059880239521
152,Fieldsway House,925000,Flat / Apartment,1012,3,Highbury,London,N5,1QA,Middle,914.0316205533596
153,Long & Waterson Apartments,550000,Penthouse,414,1,Hackney,London,E2,8HN,central,1328.502415458937
154,Mare Street,260000,Studio,381,0,Hackney,London,E8,3RH,Middle,682.4146981627297
155,Reliance Wharf,550000,Flat / Apartment,547,1,Hertford Road,London,N1,5ET,central,1005.4844606946983
156,Gayton Road,2400000,House,2202,5,Hampstead,London,NW3,1TU,Middle,1089.9182561307903
157,Ram Quarter,580000,New development,460,1,Wandsworth,London,SW18,1TH,Outer,1260.8695652173913
158,Grimston Road,2300000,House,2785,5,Fulham,London,SW6,3QR,Outer,825.8527827648115
159,Balham Grove,1200000,House,1270,3,NA,London,SW12,8BE,Outer,944.8818897637796
160,Fernside Road,1500000,House,1934,5,NA,London,SW12,8LH,Outer,775.5946225439503
161,Walsingham Place,2250000,House,2605,5,NA,London,SW4,9RR,Middle,863.7236084452975
162,Englewood Road,1500000,House,2047,4,NA,London,SW12,9NZ,Outer,732.7796775769418
163,Streathbourne Road,2150000,House,2850,5,NA,London,SW17,8RA,Outer,754.3859649122807
164,Rowfant Road,1595000,House,2555,6,NA,London,SW17,7AP,Outer,624.26614481409
165,Tantallon Road,1565000,House,2088,5,NA,London,SW12,8DH,Outer,749.5210727969348
166,Honeybrook Road,1500000,House,2173,5,NA,London,SW12,0DL,Outer,690.2899217671422
167,Fenn Mansions,400000,Flat / Apartment,774,2,20 Love Lane,London,SE18,6GY,Further Outer,516.795865633075
168,New Providence Wharf,415000,Flat / Apartment,525,1,Canary Wharf,London,E14,9PW,Middle,790.4761904761905
169,Enclave Court,1395000,Penthouse,1230,2,2 Dallington Street,London,EC1,0BH,Further Outer,1134.1463414634147
170,Fairfax Road,2800000,House,2734,6,Chiswick,London,W4,1EN,Further Outer,1024.140453547915
171,Redcliffe Gardens,1195000,Flat / Apartment,872,2,Chelsea,London,SW10,9HA,Middle,1370.4128440366972
172,Drayton Court,2750000,Flat / Apartment,1839,4,Drayton Gardens,London,SW10,9RH,Middle,1495.377922784122
173,Lower Mall,6950000,House,5501,6,Hammersmith,London,W6,9DJ,Outer,1263.406653335757
174,Albert Bridge Road,2750000,House,2675,4,Battersea,London,SW11,4PX,Middle,1028.03738317757
175,Ridgway,525000,Flat / Apartment,514,2,Wimbledon,London,SW19,4SX,Further Outer,1021.4007782101168
176,Lowndes Square,5450000,Flat / Apartment,1920,3,NA,London,SW1,9HB,central,2838.5416666666665
178,Devonshire Mews South,3750000,House,3256,3,Marylebone,London,W1,6QW,central,1151.7199017199018
179,Ovington Gardens,1750000,Flat / Apartment,714,2,NA,London,SW3,1LS,Middle,2450.9803921568628
180,Cubitt Building,750000,Flat / Apartment,604,1,Chelsea,London,S1W,8QL,Further Outer,1241.7218543046358
181,Iverna Court,3150000,Flat / Apartment,1755,4,NA,London,W8,6TS,Middle,1794.871794871795
183,Waleorde Road,575000,Flat / Apartment,800,2,NA,London,SE17,1GG,Middle,718.75
184,Louisville Road,1250000,House,2475,6,NA,London,SW17,8RU,Outer,505.050505050505
185,Langroyd Road,1150000,House,1703,4,NA,London,SW17,7PL,Outer,675.2789195537288
186,Dance Square,650000,Flat / Apartment,584,1,Clerkenwell,London,EC1,3AN,Further Outer,1113.013698630137
187,Cranbrook Road,1295000,House,1356,4,Chiswick,London,W4,2LH,Further Outer,955.0147492625368
188,Buer Road,765000,Flat / Apartment,1362,3,Fulham,London,SW6,4LA,Outer,561.6740088105727
189,Lillian Road,1100000,House,1420,3,Barnes,London,SW13,9JF,Further Outer,774.6478873239437
190,Ranelagh Avenue,2350000,House,2153,4,Barnes,London,SW13,0BL,Further Outer,1091.500232234092
191,Hillbrook Road,965000,House,1222,4,Tooting Bec,London,SW17,,Outer,789.6890343698855
192,Weller Court,1750000,Flat / Apartment,732,1,Holland Park,London,W11,3NT,Middle,2390.710382513661
195,Stuart Tower,475000,Flat / Apartment,525,1,105 Maida Vale,London,W9,1UJ,Middle,904.7619047619048
